id,user_id,raw_text,normalized_text,merchant_name,primary_confidence,prediction_status
6b0b44a6-1cf2-4b4b-9bfe-388c14c2aeca,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹105.7 debited to MedPlus on 11-Feb-2026 02:54 via UPI Ref 3816789941,,MedPlus,0.194,AUTO
9f3d015d-1685-418f-91cd-5af17421656b,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹1065.75 debited to Amazon on 22-Aug-2025 12:32 via UPI Ref 9350249890,,Amazon,0.3899,AUTO
9e2db30b-dbf2-4200-9b91-7f961e7c4ee5,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹1198.8 debited to Water Supply on 20-Sep-2025 14:04 via UPI Ref 6744144891,,Water Supply,0.356,AUTO
7753053d-ba7f-410f-b902-c92bd43d1308,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹63.52 debited to Ola on 10-Feb-2026 15:17 via UPI Ref 3396211416,,Ola,0.2529,AUTO
3936bd36-2984-4aa7-b26f-a92ad6a82863,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹1289.48 debited to Uber on 25-Sep-2025 14:48 via UPI Ref 5252500202,,Uber,0.3207,AUTO
ad659b73-d568-4bf6-ad8e-bb441f3047d7,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹97.4 debited to Myntra on 14-Oct-2025 17:09 via UPI Ref 3541505545,,Myntra,0.2192,AUTO
26ebb8ed-6b92-4794-b90d-5bf2b5a7af8f,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹45671.86 credited to Company Payroll on 01-Oct-2025 03:00 via UPI Ref 4162350793,,Company Payroll,0.1532,AUTO
f4cf8b8e-fcda-46d1-a0ce-43dfdd175519,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹696.79 debited to Zomato on 20-Sep-2025 12:59 via UPI Ref 2169921591,,Zomato,0.3442,AUTO
79068485-666b-4621-910d-49a4cce6cd21,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹1408.33 debited to BigBasket on 22-Aug-2025 05:14 via UPI Ref 9648684520,,BigBasket,0.1854,AUTO
09f9d664-09d6-423b-90d9-eec1c667ca8c,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹539.24 debited to Myntra on 09-Sep-2025 18:50 via UPI Ref 2275412394,,Myntra,0.2059,AUTO
d631fbc8-0dfa-4304-9b83-5f5f88d73c48,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹1667.68 debited to Spotify on 06-Jan-2026 17:51 via UPI Ref 7856384944,,Spotify,0.3436,AUTO
994bc833-9ce3-455b-8e07-a25bebb9a8df,81f7dd70-8a34-4d89-b097-01c124cdd41b,₹1399.19 debited to Ola on 10-Feb-2026 04:24 via UPI Ref 2019601017,,Ola,0.2715,AUTO
